11/27/2017
Game Title                    Game #              Top Prize           Unclaimed           2nd Prize           Unclaimed           
$1,000,000 Cashword            615, 1241          $1,000,000          2                   $5,000              87                  
$1,000,000 Jackpot            1288                $1,000,000          3                   $5,000              20                  
$1,000,000 Large              1274                $1,000,000          2                   $5,000              5                   
$10,000 A Week for Life       1237                $10,000/Wk/Life     2                   $20,000             35                  
$10,000,000 Cash              1270                $10,000,000         2                   $200,000            2                   
$2,500 A Week for Life        1246, 1304          $2,500/Wk/Life      4                   $3,000              218                 
$25, $50 OR $100!             1242                $100                7,126               $50                 12,896              
$25,000 In Lincolns           1259                $25,000             1                   $500                10                  
$3,000,000 In Benjamins       1256                $3,000,000          1                   $10,000             32                  
$350,000,000 Cash Spectacular 1299                $10,000,000         4                   $250,000            4                   
$5 Million Fortune            1279                $5,000,000          2                   $50,000             17                  
$5,000 Money Stacks           1285                $5,000              8                   $500                48                  
$500,000 In Grants            1257                $500,000            3                   $5,000              1                   
$7,000,000 Cash Blowout       1261                $7,000,000          3                   $20,000             52                  
$75,000 In Hamiltons          1258                $75,000             1                   $5,000              17                  
100 Buck$                     1294                $25,000             8                   $500                96                  
10X The Luck                  1234                $25,000             2                   $2,500              9                   
50X The Money                 1295                $3,000,000          3                   $10,000             136                 
5X The Win                    1298                $5,000              14                  $300                54                  
60X Your Money                1275                $100,000            2                   $12,500             6                   
7                             1262                $777,777            1                   $7,000              5                   
7-11-21                       1302                $2,100              34                  $300                120                 
7-11-21                       1254                $21,000             3                   $500                133                 
Big Red 8s                    1278                $888,888            1                   $5,000              2                   
Bingo Doubler                  808, 1140          $20,000             19                  $2,000              152                 
Black and Gold                1287                $1,000,000          1                   $10,000             4                   
Block - O ®                   1233                $60,000             2                   $2,000              10                  
Bonus Rainbow Bingo           1204                $500,000            2                   $5,000              46                  
Cash $50                      1276                $25,000             1                   $500                25                  
Cash X20                      1296                $1,000,000          2                   $5,000              18                  
Cashword                      1228, 1286          $10,000             25                  $1,000              301                 
Cashword Connect              1231                $60,000             1                   $5,000              5                   
Cashword Doubler              1218, 1306          $20,000             23                  $10,000             49                  
Champions of Cash             1281                $25,000             6                   $500                99                  
Cool Cash                     1310                $2,500              118                 $400                130                 
Crossway Cash                 1253                $60,000             4                   $1,000              30                  
Diamonds x10                  1284                $25,000             4                   $500                41                  
Double Dollars                1273                $5,000              3                   $100                60                  
Double Triple Cashword         821, 1236          $300,000            3                   $200,000            3                   
Emerald Green 8's             1292                $888,888            2                   $8,000              5                   
Freezin' Greetings            1269                $1,000,000          3                   $10,000             3                   
Frogger ®                     1244                $60,000             3                   $1,000              1                   
Frosty Fun                    1268                $1,500              4                   $500                8                   
Gold Castle                   1251                $250,000            1                   $2,000              5                   
Gold Fish                     1264                $10,000             4                   $2,000              31                  
Hit $600!                     1291                $600                7,795               $200                4,683               
Holiday 7                     1308                $700,000            3                   $5,000              6                   
Instant Take 5                 831, 1103          $5,555              284                 $500                1,419               
Jingle Bucks                  1267                $20,000             7                   $500                99                  
Jumbo Bucks                   1300                $1,000,000          3                   $10,000             39                  
Lady Luck 7                   1280                $1,000,000          1                   $5,000              6                   
Loose Change                   803, 1111          $500                208                 $100                2,878               
Lucky 7's                      822, 1101          $2,700              44                  $700                781                 
Lucky 7's Playbook            1192                $250,000            2                   $25,000             2                   
Lucky Bucks                   1277                $5,000              5                   $500                19                  
Merry & Bright                1266                $500,000            1                   $2,500              5                   
Merry Millionaire             1307                $1,000,000          3                   $5,000              26                  
Money Match                   1272                $75,000             1                   $7,500              1                   
Money Vault                   1252                $500,000            2                   $5,000              7                   
Neon 10s                      1297                $20,000             7                   $500                379                 
New York Poker                 714, 1130          $1,000,000          2                   $20,000             26                  
Pac-Man                       1293                $60,000             4                   $5,000              5                   
Prize Lines                   1301                $75,000             5                   $5,000              84                  
Queen of Green                1230                $1,000,000          1                   $5,000              0                   
Red Hot Cash                  1290                $25,000             6                   $500                143                 
Red Line Cashword             1289                $100,000            3                   $1,000              44                  
Reindeer Riches               1309                $20,000             12                  $250                92                  
Scrabble                      1263                $60,000             1                   $20,000             1                   
Set For Life                   850, 1212          $5,000/Wk/Life      2                   $50,000             7                   
Spicy 1's                     1255                $1,111              6                   $400                9                   
Super Tripler Cash            1283                $1,000,000          1                   $5,000              10                  
Triple Black Cherry           1211                $1,500              2                   $500                17                  
Triple Tripler                1235                $1,800              5                   $900                1                   
Wheel of Fortune - Orange     1238                $500,000            1                   $2,000              11                  
Wild 10s                      1249                $10,000             3                   $500                47                  
Wild Bonanza Multiplier       1247                $5,000,000          1                   $150,000            2                   
Wild Cash                     1248                $500,000            1                   $5,000              6                   
Wild Wins                     1250                $1,000              3                   $500                8                   
Win For Life                   728, 1124          $1,000/Wk/Life      4                   $2,500              80                  
Wonka Golden Ticket           1282                $3,000,000          3                   $10,000             5                   
